id,number,title,level,type,flags,course,day,lesson,depth,note
sec-scope,1,Scope,1,,,,,,,
sec-conformance,2,Conformance,1,,,,,,,
sec-conformance-normative-optional,2.1,Example Normative Optional Clause Heading,2,,normative-optional example,,,,,
sec-conformance-legacy,2.2,Example Legacy Clause Heading,2,,legacy example,,,,,
sec-conformance-legacy-normative-optional,2.3,Example Legacy Normative Optional Clause Heading,2,,legacy normative-optional example,,,,,
sec-normative-references,3,Normative References,1,,,,,,,
sec-overview,4,Overview,1,,,,,,,
sec-web-scripting,4.1,Web Scripting,2,,,,,,,
sec-hosts-and-implementations,4.2,Hosts and Implementations,2,,,,,,,
sec-ecmascript-overview,4.3,ECMAScript Overview,2,,,,,,,
sec-objects,4.3.1,Objects,3,,,,,,,
sec-strict-variant-of-ecmascript,4.3.2,The Strict Variant of ECMAScript,3,,,,,,,
sec-terms-and-definitions,4.4,Terms and Definitions,2,,,,,,,
sec-terms-and-definitions-implementation-approximated,4.4.1,implementation-approximated,3,,,,,,,
sec-terms-and-definitions-implementation-defined,4.4.2,implementation-defined,3,,,,,,,
sec-terms-and-definitions-host-defined,4.4.3,host-defined,3,,,,,,,
sec-type,4.4.4,type,3,,,,,,,
sec-primitive-value,4.4.5,primitive value,3,,,,,,,
sec-terms-and-definitions-object,4.4.6,object,3,,,,,,,
sec-constructor,4.4.7,constructor,3,,,,,,,
sec-terms-and-definitions-prototype,4.4.8,prototype,3,,,,,,,
sec-ordinary-object,4.4.9,ordinary object,3,,,,,,,
sec-exotic-object,4.4.10,exotic object,3,,,,,,,
sec-standard-object,4.4.11,standard object,3,,,,,,,
sec-built-in-object,4.4.12,built-in object,3,,,,,,,
sec-undefined-value,4.4.13,undefined value,3,,,,,,,
sec-terms-and-definitions-undefined-type,4.4.14,Undefined type,3,,,,,,,
sec-null-value,4.4.15,null value,3,,,,,,,
sec-terms-and-definitions-null-type,4.4.16,Null type,3,,,,,,,
sec-terms-and-definitions-boolean-value,4.4.17,Boolean value,3,,,,,,,
sec-terms-and-definitions-boolean-type,4.4.18,Boolean type,3,,,,,,,
sec-boolean-object,4.4.19,Boolean object,3,,,,,,,
sec-terms-and-definitions-string-value,4.4.20,String value,3,,,,,,,
sec-terms-and-definitions-string-type,4.4.21,String type,3,,,,,,,
sec-string-object,4.4.22,String object,3,,,,,,,
sec-terms-and-definitions-number-value,4.4.23,Number value,3,,,,,,,
sec-terms-and-definitions-number-type,4.4.24,Number type,3,,,,,,,
sec-number-object,4.4.25,Number object,3,,,,,,,
sec-terms-and-definitions-infinity,4.4.26,Infinity,3,,,,,,,
sec-terms-and-definitions-nan,4.4.27,NaN,3,,,,,,,
sec-terms-and-definitions-bigint-value,4.4.28,BigInt value,3,,,,,,,
sec-terms-and-definitions-bigint-type,4.4.29,BigInt type,3,,,,,,,
sec-bigint-object,4.4.30,BigInt object,3,,,,,,,
sec-symbol-value,4.4.31,Symbol value,3,,,,,,,
sec-terms-and-definitions-symbol-type,4.4.32,Symbol type,3,,,,,,,
sec-symbol-object,4.4.33,Symbol object,3,,,,,,,
sec-terms-and-definitions-function,4.4.34,function,3,,,,,,,
sec-built-in-function,4.4.35,built-in function,3,,,,,,,
sec-built-in-constructor,4.4.36,built-in constructor,3,,,,,,,
sec-property,4.4.37,property,3,,,,,,,
sec-method,4.4.38,method,3,,,,,,,
sec-built-in-method,4.4.39,built-in method,3,,,,,,,
sec-attribute,4.4.40,attribute,3,,,,,,,
sec-own-property,4.4.41,own property,3,,,,,,,
sec-inherited-property,4.4.42,inherited property,3,,,,,,,
sec-organization-of-this-specification,4.5,Organization of This Specification,2,,,,,,,
sec-notational-conventions,5,Notational Conventions,1,,,,,,,
sec-syntactic-and-lexical-grammars,5.1,Syntactic and Lexical Grammars,2,,,,,,,
sec-context-free-grammars,5.1.1,Context-Free Grammars,3,,,,,,,
sec-lexical-and-regexp-grammars,5.1.2,The Lexical and RegExp Grammars,3,,,,,,,
sec-numeric-string-grammar,5.1.3,The Numeric String Grammar,3,,,,,,,
sec-syntactic-grammar,5.1.4,The Syntactic Grammar,3,,,,,,,
sec-grammar-notation,5.1.5,Grammar Notation,3,,,,,,,
sec-terminal-symbols,5.1.5.1,Terminal Symbols,4,,,,,,,
sec-nonterminal-symbols-and-productions,5.1.5.2,Nonterminal Symbols and Productions,4,,,,,,,
sec-optional-symbols,5.1.5.3,Optional Symbols,4,,,,,,,
sec-grammatical-parameters,5.1.5.4,Grammatical Parameters,4,,,,,,,
sec-one-of,5.1.5.5,one of,4,,,,,,,
sec-empty,5.1.5.6,[empty],4,,,,,,,
sec-lookahead-restrictions,5.1.5.7,Lookahead Restrictions,4,,,,,,,
sec-no-lineterminator-here,5.1.5.8,[no LineTerminator here],4,,,,,,,
sec-but-not,5.1.5.9,but not,4,,,,,,,
sec-descriptive-phrases,5.1.5.10,Descriptive Phrases,4,,,,,,,
sec-algorithm-conventions,5.2,Algorithm Conventions,2,,,,,,,
sec-evaluation-order,5.2.1,Evaluation Order,3,,,,,,,
sec-algorithm-conventions-abstract-operations,5.2.2,Abstract Operations,3,,,,,,,
sec-algorithm-conventions-syntax-directed-operations,5.2.3,Syntax-Directed Operations,3,,,,,,,
sec-runtime-semantics,5.2.4,Runtime Semantics,3,,,,,,,
sec-completion-ao,5.2.4.1,Completion ( completionRecord ),4,abstract operation,,,,,,
sec-throw-an-exception,5.2.4.2,Throw an Exception,4,,,,,,,
sec-shorthands-for-unwrapping-completion-records,5.2.4.3,Shorthands for Unwrapping Completion Records,4,,,,,,,
sec-implicit-normal-completion,5.2.4.4,Implicit Normal Completion,4,,,,,,,
sec-static-semantic-rules,5.2.5,Static Semantics,3,,,,,,,
sec-mathematical-operations,5.2.6,Mathematical Operations,3,,,,,,,
sec-value-notation,5.2.7,Value Notation,3,,,,,,,
sec-identity,5.2.8,Identity,3,,,,,,,
sec-ecmascript-data-types-and-values,6,ECMAScript Data Types and Values,1,,,,,,,
sec-ecmascript-language-types,6.1,ECMAScript Language Types,2,,,,,,,
sec-ecmascript-language-types-undefined-type,6.1.1,The Undefined Type,3,,,,,,,
sec-ecmascript-language-types-null-type,6.1.2,The Null Type,3,,,,,,,
sec-ecmascript-language-types-boolean-type,6.1.3,The Boolean Type,3,,,,,,,
sec-ecmascript-language-types-string-type,6.1.4,The String Type,3,,,,,,,
sec-stringindexof,6.1.4.1,"StringIndexOf ( string, searchValue, fromIndex )",4,abstract operation,,,,,,
sec-stringlastindexof,6.1.4.2,"StringLastIndexOf ( string, searchValue, fromIndex )",4,abstract operation,,,,,,
sec-ecmascript-language-types-symbol-type,6.1.5,The Symbol Type,3,,,,,,,
sec-well-known-symbols,6.1.5.1,Well-Known Symbols,4,,,,,,,
sec-numeric-types,6.1.6,Numeric Types,3,,,,,,,
sec-ecmascript-language-types-number-type,6.1.6.1,The Number Type,4,,,,,,,
sec-numeric-types-number-unaryMinus,6.1.6.1.1,Number::unaryMinus ( x ),5,numeric method,,,,,,
sec-numeric-types-number-bitwiseNOT,6.1.6.1.2,Number::bitwiseNOT ( x ),5,numeric method,,,,,,
sec-numeric-types-number-exponentiate,6.1.6.1.3,"Number::exponentiate ( base, exponent )",5,numeric method,,,,,,
sec-numeric-types-number-multiply,6.1.6.1.4,"Number::multiply ( x, y )",5,numeric method,,,,,,
sec-numeric-types-number-divide,6.1.6.1.5,"Number::divide ( x, y )",5,numeric method,,,,,,
sec-numeric-types-number-remainder,6.1.6.1.6,"Number::remainder ( n, d )",5,numeric method,,,,,,
sec-numeric-types-number-add,6.1.6.1.7,"Number::add ( x, y )",5,numeric method,,,,,,
sec-numeric-types-number-subtract,6.1.6.1.8,"Number::subtract ( x, y )",5,numeric method,,,,,,
sec-numeric-types-number-leftShift,6.1.6.1.9,"Number::leftShift ( x, y )",5,numeric method,,,,,,
sec-numeric-types-number-signedRightShift,6.1.6.1.10,"Number::signedRightShift ( x, y )",5,numeric method,,,,,,
sec-numeric-types-number-unsignedRightShift,6.1.6.1.11,"Number::unsignedRightShift ( x, y )",5,numeric method,,,,,,
sec-numeric-types-number-lessThan,6.1.6.1.12,"Number::lessThan ( x, y )",5,numeric method,,,,,,
sec-numeric-types-number-equal,6.1.6.1.13,"Number::equal ( x, y )",5,numeric method,,,,,,
sec-numeric-types-number-sameValue,6.1.6.1.14,"Number::sameValue ( x, y )",5,numeric method,,,,,,
