path,title,page_type,status,browser_compat,course,day,lesson,depth,note
Web/JavaScript,JavaScript,landing-page,,,,,,,
Web/JavaScript/Guide,JavaScript Guide,guide,,,,,,,
Web/JavaScript/Guide/Closures,Closures,guide,,,,,,,
Web/JavaScript/Guide/Control_flow_and_error_handling,Control flow and error handling,guide,,,,,,,
Web/JavaScript/Guide/Data_structures,JavaScript data types and data structures,guide,,,,,,,
Web/JavaScript/Guide/Enumerability_and_ownership_of_properties,Enumerability and ownership of properties,guide,,,,,,,
Web/JavaScript/Guide/Equality_comparisons_and_sameness,Equality comparisons and sameness,guide,,,,,,,
Web/JavaScript/Guide/Expressions_and_operators,Expressions and operators,guide,,,,,,,
Web/JavaScript/Guide/Functions,Functions,guide,,,,,,,
Web/JavaScript/Guide/Grammar_and_types,Grammar and types,guide,,,,,,,
Web/JavaScript/Guide/Indexed_collections,Indexed collections,guide,,,,,,,
Web/JavaScript/Guide/Inheritance_and_the_prototype_chain,Inheritance and the prototype chain,guide,,,,,,,
Web/JavaScript/Guide/Internationalization,Internationalization,guide,,,,,,,
Web/JavaScript/Guide/Introduction,Introduction,guide,,,,,,,
Web/JavaScript/Guide/Iterators_and_generators,Iterators and generators,guide,,,,,,,
Web/JavaScript/Guide/Keyed_collections,Keyed collections,guide,,,,,,,
Web/JavaScript/Guide/Language_overview,JavaScript language overview,guide,,,,,,,
Web/JavaScript/Guide/Loops_and_iteration,Loops and iteration,guide,,,,,,,
Web/JavaScript/Guide/Memory_management,Memory management,guide,,,,,,,
Web/JavaScript/Guide/Meta_programming,Meta programming,guide,,,,,,,
Web/JavaScript/Guide/Modules,JavaScript modules,guide,,,,,,,
Web/JavaScript/Guide/Numbers_and_strings,Numbers and strings,guide,,,,,,,
Web/JavaScript/Guide/Regular_expressions,Regular expressions,guide,,,,,,,
Web/JavaScript/Guide/Regular_expressions/Assertions,Assertions,guide,,,,,,,
Web/JavaScript/Guide/Regular_expressions/Character_classes,Character classes,guide,,,,,,,
Web/JavaScript/Guide/Regular_expressions/Cheatsheet,Regular expression syntax cheat sheet,guide,,,,,,,
Web/JavaScript/Guide/Regular_expressions/Groups_and_backreferences,Groups and backreferences,guide,,,,,,,
Web/JavaScript/Guide/Regular_expressions/Quantifiers,Quantifiers,guide,,,,,,,
Web/JavaScript/Guide/Representing_dates_times,Representing dates & times,guide,,,,,,,
Web/JavaScript/Guide/Resource_management,JavaScript resource management,guide,,,,,,,
Web/JavaScript/Guide/Typed_arrays,JavaScript typed arrays,guide,,,,,,,
Web/JavaScript/Guide/Using_classes,Using classes,guide,,,,,,,
Web/JavaScript/Guide/Using_promises,Using promises,guide,,,,,,,
Web/JavaScript/Guide/Working_with_objects,Working with objects,guide,,,,,,,
Web/JavaScript/Reference,JavaScript reference,landing-page,,,,,,,
Web/JavaScript/Reference/Classes,Classes,guide,,javascript.classes,,,,,
Web/JavaScript/Reference/Classes/constructor,constructor,javascript-language-feature,,javascript.classes.constructor,,,,,
Web/JavaScript/Reference/Classes/extends,extends,javascript-language-feature,,javascript.classes.extends,,,,,
Web/JavaScript/Reference/Classes/Private_elements,Private elements,javascript-language-feature,,javascript.classes.private_class_fields javascript.classes.private_class_fields_in javascript.classes.private_class_methods,,,,,
Web/JavaScript/Reference/Classes/Public_class_fields,Public class fields,javascript-language-feature,,javascript.classes.public_class_fields,,,,,
Web/JavaScript/Reference/Classes/static,static,javascript-language-feature,,javascript.classes.static,,,,,
Web/JavaScript/Reference/Classes/Static_initialization_blocks,Static initialization blocks,javascript-language-feature,,javascript.classes.static.initialization_blocks,,,,,
Web/JavaScript/Reference/Deprecated_and_obsolete_features,Deprecated and obsolete features,guide,,,,,,,
Web/JavaScript/Reference/Errors,JavaScript error reference,landing-page,,,,,,,
Web/JavaScript/Reference/Errors/Already_executing_generator,TypeError: already executing generator,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Already_has_pragma,"Warning: -file- is being assigned a //# sourceMappingURL, but already has one",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Arguments_not_allowed,SyntaxError: arguments is not valid in fields,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Array_sort_argument,TypeError: invalid Array.prototype.sort argument,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/await_yield_in_parameter,SyntaxError: await/yield expression can't be used in parameter,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Bad_await,"SyntaxError: await is only valid in async functions, async generators and modules",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Bad_break,SyntaxError: unlabeled break must be inside loop or switch,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Bad_continue,SyntaxError: continue must be inside loop,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Bad_new_optional,SyntaxError: new keyword cannot be used with an optional chain,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Bad_optional_template,SyntaxError: tagged template cannot be used with optional chain,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Bad_radix,RangeError: radix must be an integer,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Bad_regexp_flag,"SyntaxError: invalid regular expression flag ""x""",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Bad_return,SyntaxError: return not in function,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Bad_strict_arguments_eval,SyntaxError: 'arguments'/'eval' can't be defined or assigned to in strict mode code,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Bad_super_call,SyntaxError: super() is only valid in derived class constructors,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Bad_super_prop,SyntaxError: use of super property/member accesses only valid within methods or eval code within methods,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/BigInt_division_by_zero,RangeError: BigInt division by zero,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/BigInt_negative_exponent,RangeError: BigInt negative exponent,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/BigInt_not_serializable,TypeError: BigInt value can't be serialized in JSON,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Builtin_ctor_no_new,TypeError: calling a builtin X constructor without new is forbidden,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Called_on_incompatible_type,TypeError: X.prototype.y called on incompatible type,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Cant_access_lexical_declaration_before_init,ReferenceError: can't access lexical declaration 'X' before initialization,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Cant_assign_to_property,"TypeError: can't assign to property ""x"" on ""y"": not an object",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Cant_be_converted_to_BigInt_because_it_isnt_an_integer,RangeError: x can't be converted to BigInt because it isn't an integer,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Cant_convert_BigInt_to_number,TypeError: can't convert BigInt to number,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Cant_convert_x_to_BigInt,TypeError: can't convert x to BigInt,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Cant_define_property_object_not_extensible,"TypeError: can't define property ""x"": ""obj"" is not extensible",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Cant_delete,"TypeError: property ""x"" is non-configurable and can't be deleted",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Cant_delete_private_fields,SyntaxError: private fields can't be deleted,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Cant_redefine_property,"TypeError: can't redefine non-configurable property ""x""",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Cant_set_prototype,TypeError: can't set prototype of this object,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Cant_use_nullish_coalescing_unparenthesized,SyntaxError: cannot use ?? unparenthesized within || and && expressions,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Class_ctor_no_new,TypeError: class constructors must be invoked with 'new',javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Constructor_cant_be_used_directly,TypeError: Iterator/AsyncIterator constructor can't be used directly,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Cyclic_object_value,TypeError: cyclic object value,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Cyclic_prototype,TypeError: can't set prototype: it would cause a prototype chain cycle,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Delete_in_strict_mode,SyntaxError: applying the 'delete' operator to an unqualified name is deprecated,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Deprecated_caller_or_arguments_usage,"TypeError: 'caller', 'callee', and 'arguments' properties may not be accessed",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Deprecated_octal_escape_sequence,SyntaxError: octal escape sequences can't be used in untagged template literals or in strict mode code,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Deprecated_octal_literal,"SyntaxError: ""0""-prefixed octal literals are deprecated",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Deprecated_source_map_pragma,SyntaxError: Using //@ to indicate sourceURL pragmas is deprecated. Use //# instead,javascript-error,,,,,,,
